,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
統括A,,,,,,,責,,責,,,責,責,,,,,,,責,,責,,,,責,,,,
副統括A,事,,,事,,事,,,事,,責,,,,,事,,,,,,,,,,,責,,,
火葬員A,,,,,人,,,,,,,,,,,人,人,,,,人,,,,人,動,,,人,
火葬員B,,,,動,,,,,,,,人,,,人,人,人,,,,,,,,,,人,,,人
火葬員C,人,,,,,人,,,,人,,,,,,,,,,,,人,人,,人,,人,,,
火葬員D,,,,,,,,,,,,,,人,,,,,人,人,人,,人,,,人,,,人,
火葬員E,,,,,,人,,人,,人,,,,,,人,,,,,人,,,,人,,,人,,
火葬員F,,,,人,,,,人,動,人,人,人,,,,,,,,,,,,,,,,,人,
清掃員A,清,,清,,,,,,,,,清,,,,清,,,清,,,,,,清,,,清,,
清掃員B,,,,,清,,清,,,清,清,,,,,,,,,,清,,,,清,,,清,,
清掃員C,清,,,清,,,清,,清,,清,,,,,清,,,,,,清,,,,,,,,
清掃員D,,,清,清,清,,,,,,,清,,,,,,,,清,,清,,清,,,,,,
売店従業員A,売,,,,,,,,,,,売,,,売,,,売,売,,,,,,,売,,売,,
売店従業員B,,,,,,,売,,,売,,,,売,,,売,,,,,,売,,,,売,売,,
売店従業員C,,,,,売,,売,,,,,,売,,,,,,売,,売,,売,,,売,,,,
霊柩運送員A,,,運,,,運,,,,,,,,,,運,,運,,運,,,,運,運,,,,,
霊柩運送員B,,,,,運,運,運,,運,,,,,,,,運,,,運,,,運,,,,,,,
霊柩運送員C,,運,,,運,,,,運,,運,,,,運,,,運,運,,,,,,,,,,,
剣士A,,,,,,,,,,,火,,,,,火,,火,,火,,火,,,火,,,,,
剣士B,,,,火,,火,,,,火,,,火,火,,,火,,,,,,,,,,,,,
剣士C,火,,,,,,,,,,,火,,,,,,,,,火,,火,火,,,,,火,
剣士D,,,,,火,,,,火,,,,,,火,,,,火,,,,,,,火,火,,,
海賊王A,,火,火,,,,火,火,,,,,,,,,,,,,,,,,,,,火,,火
パート長A,,人,人,人,,人,人,動,,動,,人,,人,人,人,,人,動,,,動,動,人,,,人,,人,人
パート長B,人,人,,人,人,,人,,人,人,人,,人,人,人,,人,人,人,,人,,人,,人,人,,人,,動
パート長C,人,人,人,,人,人,動,,人,,人,人,動,,人,動,人,,人,動,人,,人,人,,人,,人,動,
パート長D,人,動,人,,人,動,人,,人,,動,人,人,,人,人,,人,人,人,,人,人,人,,人,人,人,,人
パート短A,,人,人,人,,,人,人,人,,人,動,人,,,,,人,人,人,,人,,人,人,人,,動,人,人
パート短B,人,,人,人,動,,人,人,人,,人,,人,人,人,,人,動,人,,,人,人,動,,,人,,人,
パート短C,人,人,動,,人,人,人,,人,人,,人,人,人,,人,動,人,,人,人,人,,人,人,,人,人,,人
パート短D,動,人,,人,人,人,,人,,人,人,,人,動,動,,人,人,,人,動,人,,人,動,,動,人,,人
N1,,売,,囲,,清,,事,,,運,,,,,,,,,事,,,,,事,,囲,,責,
N2,,,運,,責,売,,売,,,,,,売,清,,,事,,,清,,,,,事,,,,責
N3,,,責,運,,売,,,売,運,,,清,囲,,責,責,,,,運,,,事,,,,,,運
N4,責,,,,,清,,,,,,,,,,,清,,,,,,囲,,,清,,,売,事
N5,,,,,,,,,,,,,事,,,,,,責,,,囲,,売,売,,,,運,
N6,,,,,,,,,,,事,,,,,,,,,,,,,,,,,,売,
N7,,責,売,運,売,,,,清,,,,囲,,,,囲,清,,囲,,,,,,,,,,
N8,売,,,売,,,,運,,,,,,清,,,,,,,,事,,,,,運,事,,
N9,,事,売,,,,,売,,運,,,,清,,,,,事,,,売,,,囲,,,,,
N10,運,,,,,,,,,事,,,,,囲,,事,,運,,運,売,清,責,,,,,,
N11,,売,事,売,囲,,,清,,,,,,,,,清,囲,,,責,,,清,売,清,事,,,
N12,,,,,,,,清,,,売,運,,,,,運,,囲,,,,,売,,運,,,清,囲
N13,,運,,,事,,,,,,,,清,事,,,,,,,事,,,,,,,責,囲,
N14,,,,,,,,,囲,責,囲,,,,責,運,,,,,,運,,,,,,運,,清
N15,運,囲,,,,囲,,,,,,運,運,運,,,,責,,売,囲,,,,,,清,,清,清
N16,囲,,囲,,,,,,,囲,,,,責,運,囲,,,,,,,,,,,清,,運,
N17,,,,,,,,囲,,,,,,,清,売,,,,売,,,責,囲,責,,売,,,運
N18,,清,,,,,事,,,売,,囲,,,,,,清,,,,,事,,,囲,,囲,,売
N19,,清,,責,,,囲,責,,,,事,運,,事,,,,,,,,清,,,,,,,
N20,,,,,,責,運,運,売,清,売,売,売,運,売,売,売,売,清,清,売,運,運,運,運,運,運,運,事,売
