,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
統括A,,責,責,,,,,責,,,,,,,,,,,,,,責,責,,責,責,,,,,
副統括A,事,,,,,,,事,,,,,事,,,,,事,,,事,,,,,事,,事,,,
火葬員A,,,,,,,,,,,,,,,,,,人,人,,,人,人,動,人,動,,,,,
火葬員B,,,,,人,人,,,,,,,人,人,,,,,,,,人,,,,,,,人,人,
火葬員C,,,,人,,,,人,人,動,人,人,,,,,人,,,,,,,,,,,,,,
火葬員D,,,,,人,,人,人,,,,,,,人,,,,,,,,,,,人,,,動,,人
火葬員E,,,,,,,,人,,人,,,,,動,,,人,人,,,,,人,,,,,,動,
火葬員F,人,人,,人,動,人,,,,,,,,動,,,,,,,,人,,,,,,,,,
清掃員A,清,,,,清,清,,清,,,,,,,,清,,,清,,,,,清,,,,,,,
清掃員B,,清,,,,,,,清,清,,,,,,,清,清,,,,,,,,清,清,,,,
清掃員C,清,清,,清,,,,,,清,清,,清,清,,,,,,,,,,,,,,,,,
清掃員D,,,,清,清,,,,清,,,,,,,,,清,,,,清,,,,清,,,,清,
売店従業員A,売,,,,,,,,売,売,売,売,売,,,,,,,,,売,,,,,,,,,
売店従業員B,,売,,,売,,,,,売,,売,売,売,,,,,,,,,売,,,,,,,,
売店従業員C,,売,,売,売,売,,売,売,,,,,売,,,,,,,,,,,,,,,,,
霊柩運送員A,運,,,,,,,,,,,,運,,運,,,運,,,,運,運,,,,,,,運,
霊柩運送員B,運,,,,,,,,運,,,,運,,運,運,,,,,,,,,,,,,,運,運
霊柩運送員C,,,,,,,,,運,,,,,,,運,,運,運,運,運,,,運,,,,,,,
剣士A,,,火,,,,火,,,,,,,,,,火,火,火,,,,,,,火,,,,,
剣士B,火,火,,火,,,,,,,,,,,,,,,,,火,火,,火,,,,,,,
剣士C,,,,,火,,,,,,,火,火,,火,,,,,,,,,,,,,,火,,火
剣士D,,,,,,火,,,,,火,,,,,,,,,,,,,,火,,火,火,,火,
海賊王A,,,,,,,,火,火,火,,,,火,,火,,,,火,,,火,,,,,,,,
パート長A,人,人,,人,,人,人,,動,人,,人,人,人,,人,人,人,,人,人,人,,人,人,人,,人,人,人,
パート長B,人,人,,動,人,,,動,人,人,,人,人,人,,人,,動,人,,動,人,人,,人,人,人,,人,人,人
パート長C,動,人,人,,人,人,,,人,人,人,,人,人,,人,人,人,,動,人,,人,,人,,人,人,人,,人
パート長D,人,人,人,,,人,人,人,,人,動,人,,人,人,人,,人,人,人,,動,,,人,人,,人,,人,人
パート短A,,人,人,人,,動,人,人,,,人,人,人,,人,人,人,,動,人,人,,人,人,動,,人,人,人,,人
パート短B,,動,人,人,,人,人,,人,,人,動,動,,人,動,人,,人,人,,人,動,人,,人,人,人,,人,
パート短C,人,,人,,人,,動,人,,,人,人,人,,人,人,人,,人,人,人,,人,人,,人,人,人,,人,動
パート短D,人,,動,人,人,,人,,人,人,人,,,人,,,動,人,,人,人,,人,人,人,,動,動,人,,人
N1,責,,,,囲,売,,,,,運,,,,,責,,責,,,売,,,,,,,売,,,清
N2,,,売,,,,清,,,事,,事,,,,,事,,清,囲,,,,囲,,売,売,囲,運,売,事
N3,,,,,,,,売,,,,,,,,,,,,,運,,事,,事,運,,清,,,売
N4,,運,,,事,,,,,運,事,運,,,清,,,,,,,事,,,,,事,,,,売
N5,,,,,,,,運,,,清,,清,,,売,売,囲,責,,囲,,,清,,運,,,事,,
N6,,,,運,,事,,,,,,,,清,売,囲,囲,,売,,,,清,,,,,運,責,,
N7,,事,,,,運,売,,,,運,,,,,売,,,事,責,,,,,売,売,,,,,
N8,囲,,,,,,,,,,,,,,,事,,,売,運,売,,清,,清,,,売,,,責
N9,,,清,,,囲,,,,,,,,,,,清,,,,,,運,,,,,,,囲,
N10,,,売,責,,清,売,清,,,責,,,,,,,売,,,,,,,囲,,,運,,,
N11,,,,,,,,,,,,清,,,,,責,売,,,,売,,,,,運,,,売,清
N12,,,,,,,,,,囲,,運,,運,事,,,,,売,清,運,,,,,清,清,売,,
N13,,,,囲,,,,,,責,,責,,,,,,,運,事,,,,運,,,,,清,,
N14,,,運,売,,運,清,,囲,,,,,,囲,,運,,,,,囲,,売,,,,,清,,
N15,,,囲,,運,,運,,,,,,,責,,,,,囲,,,清,,責,運,,囲,,,事,
N16,,,,,,,事,,事,運,,,囲,,責,,運,,,,清,,囲,,清,,,,売,,
N17,,運,運,,運,,運,,,,囲,,,運,清,清,売,,,清,,,,,,,売,,,清,
N18,,囲,,事,,,,囲,,,,清,責,囲,,,,,,,,,,事,,,,,,,
N19,,,清,運,責,,囲,運,,,売,,,事,売,,,,,売,責,,,,運,,運,,運,,囲
N20,売,,事,,,責,責,,責,,,囲,,,,,,,,清,,,売,売,売,囲,責,責,囲,責,運
