staff,total_workdays
統括A,23
副統括A,23
火葬員A,23
火葬員B,23
火葬員C,23
火葬員D,23
火葬員E,23
火葬員F,23
清掃員A,10
清掃員B,13
清掃員C,21
清掃員D,18
売店従業員A,21
売店従業員B,21
売店従業員C,20
霊柩運送員A,19
霊柩運送員B,21
霊柩運送員C,22
パート長A,7
パート長B,7
パート長C,8
パート長D,7
パート短A,8
パート短B,9
パート短C,12
パート短D,15
N1,4
N2,2
N3,0
N4,2
N5,1
N6,3
N7,0
N8,2
N9,2
N10,0
N11,3
N12,1
N13,2
N14,4
N15,6
N16,2
N17,3
N18,3
N19,1
N20,6
