staff,total_workdays
統括A,22
副統括A,22
火葬員A,22
火葬員B,22
火葬員C,22
火葬員D,22
火葬員E,22
火葬員F,22
清掃員A,15
清掃員B,15
清掃員C,15
清掃員D,15
売店従業員A,20
売店従業員B,21
売店従業員C,19
霊柩運送員A,20
霊柩運送員B,21
霊柩運送員C,19
パート長A,5
パート長B,8
パート長C,6
パート長D,10
パート短A,9
パート短B,9
パート短C,9
パート短D,17
N1,0
N2,0
N3,0
N4,1
N5,1
N6,4
N7,5
N8,10
N9,5
N10,6
N11,5
N12,0
N13,2
N14,1
N15,0
N16,1
N17,0
N18,1
N19,2
N20,2
