staff,total_workdays
統括A,22
副統括A,22
火葬員A,22
火葬員B,22
火葬員C,22
火葬員D,22
火葬員E,22
火葬員F,22
清掃員A,10
清掃員B,17
清掃員C,16
清掃員D,17
売店従業員A,19
売店従業員B,20
売店従業員C,21
霊柩運送員A,18
霊柩運送員B,22
霊柩運送員C,20
パート長A,10
パート長B,9
パート長C,12
パート長D,6
パート短A,5
パート短B,9
パート短C,8
パート短D,14
N1,1
N2,0
N3,1
N4,4
N5,2
N6,2
N7,1
N8,1
N9,3
N10,1
N11,3
N12,3
N13,3
N14,3
N15,4
N16,3
N17,2
N18,2
N19,3
N20,4
