staff,total_workdays
統括A,23
副統括A,23
火葬員A,23
火葬員B,23
火葬員C,23
火葬員D,23
火葬員E,23
火葬員F,23
清掃員A,15
清掃員B,19
清掃員C,18
清掃員D,10
売店従業員A,20
売店従業員B,20
売店従業員C,22
霊柩運送員A,21
霊柩運送員B,19
霊柩運送員C,22
剣士A,0
剣士B,0
剣士C,0
剣士D,8
海賊王A,23
パート長A,14
パート長B,6
パート長C,7
パート長D,6
パート短A,8
パート短B,8
パート短C,10
パート短D,15
N1,3
N2,2
N3,2
N4,4
N5,14
N6,1
N7,2
N8,9
N9,2
N10,3
N11,1
N12,0
N13,1
N14,0
N15,0
N16,1
N17,1
N18,0
N19,0
N20,1
