staff,total_workdays
統括A,22
副統括A,22
火葬員A,22
火葬員B,22
火葬員C,22
火葬員D,22
火葬員E,22
火葬員F,22
清掃員A,16
清掃員B,14
清掃員C,14
清掃員D,16
売店従業員A,19
売店従業員B,21
売店従業員C,20
霊柩運送員A,21
霊柩運送員B,20
霊柩運送員C,19
パート長A,10
パート長B,9
パート長C,8
パート長D,9
パート短A,7
パート短B,6
パート短C,12
パート短D,12
N1,1
N2,0
N3,1
N4,3
N5,0
N6,2
N7,2
N8,0
N9,6
N10,2
N11,1
N12,3
N13,3
N14,3
N15,2
N16,5
N17,3
N18,2
N19,4
N20,3
