staff,total_workdays
統括A,23
副統括A,8
火葬員A,23
火葬員B,23
火葬員C,23
火葬員D,23
火葬員E,23
火葬員F,23
清掃員A,17
清掃員B,17
清掃員C,12
清掃員D,16
売店従業員A,18
売店従業員B,21
売店従業員C,23
霊柩運送員A,20
霊柩運送員B,22
霊柩運送員C,20
事務員A,19
事務員B,12
火葬統括A,23
火葬副統括A,8
パート長A,9
パート長B,11
パート長C,10
パート長D,9
パート短A,10
パート短B,9
パート短C,13
パート短D,4
N1,0
N2,0
N3,0
N4,0
N5,0
N6,0
N7,0
N8,0
N9,0
N10,0
N11,0
N12,0
N13,0
N14,0
N15,0
N16,0
N17,0
N18,0
N19,0
N20,0
