staff,total_workdays
統括A,22
副統括A,22
火葬員A,22
火葬員B,22
火葬員C,22
火葬員D,22
火葬員E,22
火葬員F,22
清掃員A,13
清掃員B,15
清掃員C,15
清掃員D,17
売店従業員A,20
売店従業員B,21
売店従業員C,19
霊柩運送員A,20
霊柩運送員B,21
霊柩運送員C,19
剣士A,1
剣士B,2
剣士C,2
剣士D,3
海賊王A,22
パート長A,10
パート長B,6
パート長C,4
パート長D,10
パート短A,11
パート短B,8
パート短C,10
パート短D,14
N1,3
N2,3
N3,2
N4,1
N5,2
N6,1
N7,3
N8,0
N9,1
N10,3
N11,4
N12,1
N13,1
N14,3
N15,2
N16,2
N17,0
N18,5
N19,5
N20,4
