staff,total_workdays
統括A,22
副統括A,22
火葬員A,22
火葬員B,22
火葬員C,22
火葬員D,22
火葬員E,22
火葬員F,22
清掃員A,14
清掃員B,13
清掃員C,15
清掃員D,18
売店従業員A,19
売店従業員B,21
売店従業員C,20
霊柩運送員A,20
霊柩運送員B,20
霊柩運送員C,20
剣士A,0
剣士B,0
剣士C,1
剣士D,7
海賊王A,22
パート長A,9
パート長B,7
パート長C,6
パート長D,7
パート短A,8
パート短B,7
パート短C,15
パート短D,14
N1,1
N2,0
N3,0
N4,1
N5,0
N6,0
N7,4
N8,13
N9,12
N10,6
N11,3
N12,0
N13,2
N14,1
N15,0
N16,1
N17,0
N18,0
N19,1
N20,1
