day,total_working,employee_count,part_timer_count,dummy_count,job_責任者,job_事務,job_囲炉裏,job_人火葬,job_動物火葬,job_運送,job_清掃,job_売店,job_火影
1,24,19,5,0,1,1,0,6,4,3,2,3,4
2,20,13,7,0,2,0,0,9,1,2,2,1,3
3,21,17,4,0,1,1,0,6,3,2,3,3,2
4,22,17,5,0,1,1,0,8,3,2,2,3,2
5,20,16,4,0,1,1,0,5,2,3,3,3,2
6,24,18,6,0,1,1,0,7,4,2,3,3,3
7,20,15,5,0,1,1,0,3,4,2,2,3,4
8,23,17,6,0,1,1,0,2,7,3,4,3,2
9,20,14,6,0,1,0,0,8,1,2,3,2,3
10,25,19,6,0,2,0,0,7,4,3,3,2,4
11,24,19,5,0,1,1,0,5,5,3,3,3,3
12,21,15,6,0,2,0,0,5,4,2,4,3,1
13,22,16,6,0,0,1,0,8,4,3,1,3,2
14,23,16,7,0,1,1,0,8,4,2,2,3,2
15,24,17,7,0,1,1,0,7,5,2,3,2,3
16,20,14,6,0,1,1,0,3,5,3,1,2,4
17,22,17,5,0,1,1,0,7,2,3,2,3,3
18,25,18,7,0,1,0,0,9,3,2,4,3,3
19,22,17,5,0,1,1,0,3,6,3,3,3,2
20,24,19,5,0,1,1,0,5,4,3,4,3,3
21,22,14,8,0,1,1,0,9,2,2,2,2,3
22,23,17,6,0,1,1,0,6,5,3,2,2,3
23,22,16,6,0,2,0,0,8,2,3,4,2,1
24,23,18,5,0,1,1,0,5,4,2,3,3,4
25,19,12,7,0,2,0,0,6,3,2,3,1,2
26,25,18,7,0,2,0,0,10,1,2,4,3,3
27,24,19,5,0,1,1,0,8,3,3,3,2,3
28,19,12,7,0,2,0,0,9,1,2,3,1,1
29,21,14,7,0,1,1,0,5,5,3,1,2,3
30,22,18,4,0,1,1,0,7,2,3,3,3,2
