staff,total_workdays
統括A,23
副統括A,23
火葬員A,23
火葬員B,23
火葬員C,23
火葬員D,23
火葬員E,23
火葬員F,23
清掃員A,14
清掃員B,15
清掃員C,17
清掃員D,16
売店従業員A,21
売店従業員B,19
売店従業員C,22
霊柩運送員A,20
霊柩運送員B,22
霊柩運送員C,20
パート長A,10
パート長B,10
パート長C,6
パート長D,13
パート短A,9
パート短B,5
パート短C,10
パート短D,12
N1,2
N2,2
N3,2
N4,2
N5,1
N6,2
N7,0
N8,0
N9,0
N10,3
N11,4
N12,2
N13,4
N14,0
N15,4
N16,2
N17,4
N18,5
N19,3
N20,5
