staff,total_workdays
統括A,23
副統括A,23
火葬員A,23
火葬員B,23
火葬員C,23
火葬員D,23
火葬員E,23
火葬員F,23
清掃員A,10
清掃員B,13
清掃員C,21
清掃員D,18
売店従業員A,21
売店従業員B,20
売店従業員C,21
霊柩運送員A,19
霊柩運送員B,21
霊柩運送員C,22
パート長A,11
パート長B,7
パート長C,7
パート長D,9
パート短A,11
パート短B,9
パート短C,9
パート短D,10
N1,4
N2,2
N3,0
N4,2
N5,1
N6,3
N7,0
N8,2
N9,2
N10,0
N11,3
N12,1
N13,2
N14,4
N15,6
N16,2
N17,3
N18,3
N19,1
N20,6
