staff,total_workdays
統括A,23
副統括A,23
火葬員A,23
火葬員B,23
火葬員C,23
火葬員D,23
火葬員E,23
火葬員F,23
清掃員A,12
清掃員B,15
清掃員C,20
清掃員D,15
売店従業員A,19
売店従業員B,21
売店従業員C,22
霊柩運送員A,20
霊柩運送員B,21
霊柩運送員C,21
剣士A,3
剣士B,2
剣士C,2
剣士D,1
海賊王A,23
パート長A,7
パート長B,10
パート長C,12
パート長D,9
パート短A,9
パート短B,10
パート短C,9
パート短D,9
N1,3
N2,0
N3,1
N4,3
N5,2
N6,2
N7,1
N8,2
N9,1
N10,5
N11,2
N12,1
N13,3
N14,1
N15,4
N16,4
N17,3
N18,1
N19,2
N20,6
