staff,total_workdays
統括A,22
副統括A,22
火葬員A,22
火葬員B,22
火葬員C,22
火葬員D,22
火葬員E,22
火葬員F,22
清掃員A,19
清掃員B,20
清掃員C,12
清掃員D,9
売店従業員A,19
売店従業員B,20
売店従業員C,21
霊柩運送員A,20
霊柩運送員B,21
霊柩運送員C,19
パート長A,7
パート長B,10
パート長C,9
パート長D,8
パート短A,8
パート短B,9
パート短C,9
パート短D,13
N1,0
N2,0
N3,0
N4,3
N5,4
N6,11
N7,8
N8,3
N9,3
N10,2
N11,1
N12,1
N13,2
N14,2
N15,1
N16,1
N17,0
N18,1
N19,2
N20,1
